url,titulo,categoria,origen,precio,precio_por_kg,peso_volumen,proteinas,carbohidratos,grasas,fibra,azucares,saturadas,sal,calorias,calorias_kj,texto_busqueda,norm_precio,norm_nutri,score_nutricional
https://www.ahorramas.com/croqueta-artesana-la-cocinera-400g-jamon-serrano-31504.html,croqueta artesana la cocinera 400g jamón serrano,congelados_ofertas,ahorramas,4.99,,400g,7.19,24.0,4.89,0.7,179.0,149.0,6.0,169.0,888.0,croqueta artesana la cocinera 400g jamón serrano congelados_ofertas,0.9747,0.0002,0.0
https://www.ahorramas.com/lomos-merluza-pescanova-325g-romana-55956.html,lomos merluza pescanova 325g romana,congelados_ofertas,ahorramas,4.99,,325g,70.0,,50.0,,,,,,,lomos merluza pescanova 325g romana congelados_ofertas,0.9747,0.0016,0.0
https://www.ahorramas.com/varitas-de-merluza-findus-27500.html,varitas de merluza findus,congelados_ofertas,ahorramas,1.99,,,139.0,21.0,839.0,0.99,0.5,0.79,0.889,213.0,892.0,varitas de merluza findus congelados_ofertas,0.991,0.008,0.0
https://www.ahorramas.com/mandarina-fontestad-52842.html,mandarina fontestad,frescos_ofertas,ahorramas,4.39,4.39,,,,,,,,,,,mandarina fontestad frescos_ofertas,0.978,0.0,0.0
https://www.ahorramas.com/aguacate-52808.html,aguacate,frescos_ofertas,ahorramas,5.39,5.39,,,,,,,,,,,aguacate frescos_ofertas,0.9725,0.0,0.0
https://www.ahorramas.com/lote-1kg-de-cinta-de-lomo-fresca-1kg-de-chuleta-de-aguja-98119.html,lote 1kg de cinta de lomo fresca  1kg de chuleta de aguja,frescos_ofertas,ahorramas,4.99,4.99,1kg,,,,,,,,,,lote 1kg de cinta de lomo fresca 1kg de chuleta de aguja frescos_ofertas,0.9747,0.0,0.0
https://www.ahorramas.com/dorada-de-racion-pieza-400g-aproximadamente-33571.html,dorada de ración pieza 400g aproximadamente,frescos_ofertas,ahorramas,5.5,,400g,,,,,,,,,,dorada de ración pieza 400g aproximadamente frescos_ofertas,0.972,0.0,0.0
https://www.ahorramas.com/morcillo-de-anojo-50425.html,morcillo de añojo,frescos_ofertas,ahorramas,15.99,15.99,,,,,,,,,,,morcillo de añojo frescos_ofertas,0.9152,0.0,0.0
https://www.ahorramas.com/patata-2078.html,patata,frescos_ofertas,ahorramas,1.49,1.49,,,,,,,,,,,patata frescos_ofertas,0.9937,0.0,0.0
https://www.ahorramas.com/solomillo-de-cerdo-10124.html,solomillo de cerdo,frescos_ofertas,ahorramas,8.99,8.99,,,,,,,,,,,solomillo de cerdo frescos_ofertas,0.9531,0.0,0.0
https://www.ahorramas.com/pechuga-de-pollo-amarillo-pazo-de-pias-11895.html,pechuga de pollo amarillo pazo de pías,frescos_ofertas,ahorramas,9.49,9.49,,,,,,,,,,,pechuga de pollo amarillo pazo de pías frescos_ofertas,0.9503,0.0,0.0
